event_id,ticker,car_sym14
AIT-2022-04-002,TSLA,0.06979095
AIT-2022-04-002,TSM,-0.09107183
AIT-2022-04-002,TTWO,-0.14890720
AIT-2022-04-002,TXN,0.01770531
AIT-2022-04-002,UMC,-0.13128884
AIT-2022-04-002,VRTX,0.05391150
AIT-2022-04-002,WBD,-0.22930562
AIT-2022-04-002,WDAY,-0.02936778
AIT-2022-04-002,WDC,0.15106163
AIT-2022-04-002,WMT,0.06753690
AIT-2022-04-002,XEL,0.05390739
AIT-2022-10-001,AAPL,-0.09959160
AIT-2022-10-001,ABNB,-0.15804944
AIT-2022-10-001,ADBE,0.06598102
AIT-2022-10-001,ADI,-0.01837530
AIT-2022-10-001,ADP,-0.00338072
AIT-2022-10-001,ADSK,-0.03406036
AIT-2022-10-001,AEP,-0.02794866
AIT-2022-10-001,ALNY,-0.16333066
AIT-2022-10-001,AMAT,0.08903087
AIT-2022-10-001,AMD,-0.08372392
AIT-2022-10-001,AMGN,0.21136175
AIT-2022-10-001,AMZN,-0.34579303
AIT-2022-10-001,APP,-0.29792854
AIT-2022-10-001,ASML,0.11097224
AIT-2022-10-001,ASX,0.05565524
AIT-2022-10-001,AVGO,0.00312287
AIT-2022-10-001,AXON,0.33301903
AIT-2022-10-001,BKNG,0.07203124
AIT-2022-10-001,BKR,0.31204580
AIT-2022-10-001,CCEP,0.10206413
AIT-2022-10-001,CDNS,-0.18699680
AIT-2022-10-001,CEG,-0.12517065
AIT-2022-10-001,CMCSA,0.06787260
AIT-2022-10-001,COST,-0.01594206
AIT-2022-10-001,CPRT,-0.02934459
AIT-2022-10-001,CRDO,0.05638743
AIT-2022-10-001,CRWD,-0.41901962
AIT-2022-10-001,CSCO,0.08942329
AIT-2022-10-001,CSX,0.06955474
AIT-2022-10-001,CTAS,0.01752514
AIT-2022-10-001,DASH,0.03751954
AIT-2022-10-001,DDOG,-0.33194978
AIT-2022-10-001,DXCM,0.27309968
AIT-2022-10-001,EA,0.04628274
AIT-2022-10-001,ENTG,-0.33088025
AIT-2022-10-001,EXC,-0.02426950
AIT-2022-10-001,FANG,0.16148724
AIT-2022-10-001,FAST,0.04106404
AIT-2022-10-001,FER,-0.10095859
AIT-2022-10-001,FTNT,-0.06666876
AIT-2022-10-001,GILD,0.25325571
AIT-2022-10-001,GOOG,-0.14596517
AIT-2022-10-001,GOOGL,-0.13996664
AIT-2022-10-001,HON,0.18013134
AIT-2022-10-001,IDXX,0.14817901
AIT-2022-10-001,INTC,0.08628118
AIT-2022-10-001,INTU,-0.11736222
AIT-2022-10-001,ISRG,0.22040390
AIT-2022-10-001,KDP,0.00604230
AIT-2022-10-001,KHC,0.10577351
AIT-2022-10-001,KLAC,0.00986411
AIT-2022-10-001,LIN,0.11843111
AIT-2022-10-001,LITE,-0.24131167
AIT-2022-10-001,LRCX,0.13502567
AIT-2022-10-001,MAR,0.00087900
AIT-2022-10-001,MCHP,0.00659905
AIT-2022-10-001,MDLZ,0.09862525
AIT-2022-10-001,MELI,-0.04906280
AIT-2022-10-001,META,-0.25165064
AIT-2022-10-001,MNST,0.04204112
AIT-2022-10-001,MPWR,-0.16594771
AIT-2022-10-001,MRVL,-0.19824637
AIT-2022-10-001,MSFT,-0.08689858
AIT-2022-10-001,MSTR,-0.30530872
AIT-2022-10-001,MTSI,0.16984116
AIT-2022-10-001,MU,0.09537513
AIT-2022-10-001,NFLX,0.07567435
AIT-2022-10-001,NVDA,0.09336733
AIT-2022-10-001,NXPI,-0.01879597
AIT-2022-10-001,ODFL,0.05305187
AIT-2022-10-001,ON,-0.11449877
AIT-2022-10-001,ORLY,0.10021585
AIT-2022-10-001,PANW,-0.17051658
AIT-2022-10-001,PAYX,-0.01826182
AIT-2022-10-001,PCAR,0.10556222
AIT-2022-10-001,PDD,-0.16882549
AIT-2022-10-001,PEP,0.04347321
AIT-2022-10-001,PLTR,-0.18404461
AIT-2022-10-001,PYPL,-0.13187720
AIT-2022-10-001,QCOM,-0.07903226
AIT-2022-10-001,REGN,0.00418036
AIT-2022-10-001,RKLB,0.14322452
AIT-2022-10-001,ROP,0.11122295
AIT-2022-10-001,ROST,0.03403885
AIT-2022-10-001,SBUX,0.02597939
AIT-2022-10-001,SHOP,0.16852761
AIT-2022-10-001,SNPS,-0.13815145
AIT-2022-10-001,STX,-0.04548931
AIT-2022-10-001,TER,0.08296555
AIT-2022-10-001,TMUS,0.01600023
AIT-2022-10-001,TRI,0.00007916
AIT-2022-10-001,TSLA,-0.45330213
AIT-2022-10-001,TSM,-0.05324610
AIT-2022-10-001,TTWO,-0.14303637
AIT-2022-10-001,TXN,-0.00292765
AIT-2022-10-001,UMC,0.12443160
AIT-2022-10-001,VRTX,-0.03191778
AIT-2022-10-001,WBD,-0.14574276
AIT-2022-10-001,WDAY,-0.15796819
AIT-2022-10-001,WDC,0.06532466
AIT-2022-10-001,WMT,0.03565188
AIT-2022-10-001,XEL,-0.00862211
AIT-2022-12-001,AAPL,-0.10572460
AIT-2022-12-001,ABNB,-0.10612400
AIT-2022-12-001,ADBE,0.04542803
AIT-2022-12-001,ADI,0.01574518
AIT-2022-12-001,ADP,-0.06243291
AIT-2022-12-001,ADSK,-0.17681489
AIT-2022-12-001,AEP,0.07107186
AIT-2022-12-001,ALNY,0.05457683
AIT-2022-12-001,AMAT,-0.05689668
AIT-2022-12-001,AMD,-0.06218304
AIT-2022-12-001,AMGN,-0.10568341
AIT-2022-12-001,AMZN,-0.05417827
AIT-2022-12-001,APP,-0.19384570
AIT-2022-12-001,ASML,-0.03776243
AIT-2022-12-001,ASX,0.02768211
AIT-2022-12-001,AVGO,0.10707271
AIT-2022-12-001,AXON,-0.13986170
AIT-2022-12-001,BKNG,0.06857719
AIT-2022-12-001,BKR,-0.06068121
AIT-2022-12-001,CCEP,0.13255040
AIT-2022-12-001,CDNS,-0.04473119
AIT-2022-12-001,CEG,-0.16150306
AIT-2022-12-001,CMCSA,0.07913057
