event_id,ticker,car_s1_0_1,car_s1_0_2,car_s1_0_5,car_s1_0_20
AIT-2022-12-001,META,0.02067231,-0.01112523,0.04763079,0.18900459
AIT-2022-12-001,MNST,-0.01529024,-0.02100009,-0.01806843,-0.02777821
AIT-2022-12-001,MPWR,0.04854665,0.03783315,0.03347570,0.06471934
AIT-2022-12-001,MRVL,0.02848554,0.02598936,0.01732296,-0.04140102
AIT-2022-12-001,MSFT,0.00441278,0.01538500,0.03213363,-0.05481831
AIT-2022-12-001,MSTR,0.05134866,-0.02670911,0.00876152,-0.02383688
AIT-2022-12-001,MTSI,0.02030685,0.00222556,-0.01872849,-0.03825256
AIT-2022-12-001,MU,0.02197436,0.01089000,-0.01097131,0.09622431
AIT-2022-12-001,NFLX,0.03718724,-0.00035253,-0.04098717,0.04641708
AIT-2022-12-001,NVDA,0.05592441,0.05745098,0.07671420,0.01417686
AIT-2022-12-001,NXPI,0.03432143,0.03351116,0.02365941,-0.00555819
AIT-2022-12-001,ODFL,0.01726650,0.03090237,0.04972008,0.06366739
AIT-2022-12-001,ON,0.00095018,-0.02247737,-0.08134867,-0.10625488
AIT-2022-12-001,ORLY,-0.00441458,-0.00668582,-0.03023176,-0.02700140
AIT-2022-12-001,PANW,-0.03815408,-0.03906424,-0.07083608,-0.20948528
AIT-2022-12-001,PAYX,-0.00967744,0.00484261,-0.02353272,-0.03175863
AIT-2022-12-001,PCAR,-0.03347970,-0.02922191,-0.03601153,-0.03288118
AIT-2022-12-001,PDD,0.03810681,-0.02935309,0.01012524,0.04952909
AIT-2022-12-001,PEP,0.00323368,-0.00033044,-0.01100794,-0.02854528
AIT-2022-12-001,PLTR,0.00628679,0.00541769,0.01325071,-0.04599096
AIT-2022-12-001,PYPL,-0.01143034,-0.03240670,-0.04727254,0.05882603
AIT-2022-12-001,QCOM,0.00870433,0.00700922,0.00514521,0.00168545
AIT-2022-12-001,REGN,-0.02165535,-0.04210922,-0.04688075,-0.13706981
