"date","portfolio","event_window","event_portfolio_return","active_events"
2025-01-03,"hardware_minus_unrelated","0_10",-0.0359954003885635,2
2025-01-03,"deployer_minus_unrelated","pre_21_1",-0.0602056458133607,6
2025-01-03,"hardware_minus_unrelated","pre_11_1",-0.0359954003885635,2
2025-01-03,"competitor_minus_unrelated","0_10",-0.063977151031063,2
2025-01-03,"competitor_minus_unrelated","pre_11_1",-0.063977151031063,2
2025-01-03,"competitor_minus_unrelated","0_20",-0.0641278727648174,7
2025-01-03,"hardware_minus_unrelated","pre_21_1",-0.0359954003885635,6
2025-01-03,"hardware_minus_unrelated","0_20",-0.0359954003885635,7
2025-01-03,"deployer_minus_unrelated","0_20",-0.0602056458133607,7
2025-01-03,"competitor_minus_unrelated","pre_21_1",-0.0631936023521774,6
2025-01-03,"deployer_minus_unrelated","pre_11_1",-0.0602056458133607,2
2025-01-06,"hardware_minus_unrelated","pre_11_1",-0.0231366604079466,2
2025-01-06,"hardware_minus_unrelated","0_20",-0.0231366604079466,7
2025-01-06,"deployer_minus_unrelated","pre_21_1",-0.0407829537394311,6
2025-01-06,"competitor_minus_unrelated","pre_11_1",-0.0319678335250846,2
2025-01-06,"competitor_minus_unrelated","0_20",-0.0322681741681069,7
2025-01-06,"hardware_minus_unrelated","pre_21_1",-0.0231366604079466,6
2025-01-06,"hardware_minus_unrelated","0_10",-0.0231366604079466,2
2025-01-06,"competitor_minus_unrelated","pre_21_1",-0.0313856486108948,6
2025-01-06,"deployer_minus_unrelated","0_20",-0.0407829537394311,7
2025-01-06,"deployer_minus_unrelated","pre_11_1",-0.0407829537394311,2
2025-01-06,"deployer_minus_unrelated","0_10",-0.0407829537394311,2
2025-01-06,"competitor_minus_unrelated","0_10",-0.0319678335250846,2
2025-01-07,"hardware_minus_unrelated","0_20",0.0401120136048924,6
2025-01-07,"deployer_minus_unrelated","pre_21_1",0.0417010005205252,6
2025-01-07,"deployer_minus_unrelated","pre_11_1",0.0417010005205252,2
2025-01-07,"competitor_minus_unrelated","pre_11_1",0.0360214225299995,2
2025-01-07,"competitor_minus_unrelated","0_20",0.0364180977304026,6
2025-01-07,"hardware_minus_unrelated","pre_21_1",0.0401120136048924,6
2025-01-07,"competitor_minus_unrelated","0_10",0.0382609004046395,1
2025-01-07,"hardware_minus_unrelated","0_10",0.0401120136048924,1
2025-01-07,"competitor_minus_unrelated","pre_21_1",0.0365340654104095,6
2025-01-07,"deployer_minus_unrelated","0_20",0.0417010005205252,6
2025-01-07,"hardware_minus_unrelated","pre_11_1",0.0401120136048924,2
2025-01-07,"deployer_minus_unrelated","0_10",0.0417010005205252,1
2025-01-08,"hardware_minus_unrelated","0_20",0.00404987434783351,5
2025-01-08,"hardware_minus_unrelated","0_10",0.00404987434783351,1
2025-01-08,"competitor_minus_unrelated","0_20",0.00738392444485807,5
2025-01-08,"hardware_minus_unrelated","pre_11_1",0.00404987434783351,3
2025-01-08,"competitor_minus_unrelated","pre_11_1",0.00759472041781083,3
2025-01-08,"deployer_minus_unrelated","0_10",0.0180682542507535,1
2025-01-08,"competitor_minus_unrelated","pre_21_1",0.00749972232761315,6
2025-01-08,"deployer_minus_unrelated","0_20",0.0180682542507535,5
2025-01-08,"deployer_minus_unrelated","pre_11_1",0.0180682542507535,3
2025-01-08,"hardware_minus_unrelated","pre_21_1",0.00404987434783351,6
2025-01-08,"deployer_minus_unrelated","pre_21_1",0.0180682542507535,6
2025-01-08,"competitor_minus_unrelated","0_10",0.00729684768309881,1
