"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared","dropped_event"
"closed source sample","mkt_car_20","drop event FMR-0023","z_intelligence",0.0231421410254347,0.00633160073133324,0.000859694132788094,0.0102747802039907,0.0360095018468788,2802,35,0.308080983204277,"FMR-0023"
"closed source sample","mkt_car_20","drop event FMR-0024","z_intelligence",0.0225501383917741,0.00665061687770311,0.00178107738584867,0.0090344587584862,0.036065818025062,2802,35,0.294903796542625,"FMR-0024"
"closed source sample","mkt_car_20","drop event FMR-0025","z_intelligence",0.0239183186324469,0.00641654769611723,0.000701619129753019,0.0108783248082374,0.0369583124566564,2802,35,0.292378003482566,"FMR-0025"
"closed source sample","mkt_car_20","drop event FMR-0026","z_intelligence",0.0251509096173824,0.00631151702556888,0.000338116276758774,0.0123243637967048,0.0379774554380601,2805,35,0.294093685173072,"FMR-0026"
"closed source sample","mkt_car_20","drop event FMR-0027","z_intelligence",0.0220661612149433,0.00690123073492323,0.00299439417030403,0.00804117294636089,0.0360911494835257,2805,35,0.30227835445265,"FMR-0027"
"closed source sample","mkt_car_20","drop event FMR-0028","z_intelligence",0.0227915575035191,0.00774635260885754,0.00583164349431161,0.00704907494692943,0.0385340400601089,2802,35,0.300858382690434,"FMR-0028"
"closed source sample","mkt_car_20","drop event FMR-0029","z_intelligence",0.0206843755069388,0.00617715936668212,0.00199680388036807,0.0081308773008186,0.0332378737130591,2802,35,0.306566822154688,"FMR-0029"
"closed source sample","mkt_car_20","drop event FMR-0030","z_intelligence",0.0232831762911394,0.0062687591133217,0.000707500498723393,0.0105569187148934,0.0360094338673854,2884,36,0.31620746150203,"FMR-0030"
"closed source sample","mkt_car_20","drop event FMR-0031","z_intelligence",0.0232831762911394,0.0062687591133217,0.000707500498723393,0.0105569187148934,0.0360094338673854,2884,36,0.31620746150203,"FMR-0031"
"closed source sample","mkt_car_20","drop event FMR-0032","z_intelligence",0.0232831762911394,0.0062687591133217,0.000707500498723393,0.0105569187148934,0.0360094338673854,2884,36,0.31620746150203,"FMR-0032"
"closed source sample","mkt_car_20","drop event FMR-0033","z_intelligence",0.0221772737305912,0.0061834293856992,0.00104004870077997,0.00961103331275013,0.0347435141484322,2803,35,0.317619606990123,"FMR-0033"
"closed source sample","mkt_car_20","drop event FMR-0034","z_intelligence",0.0230389980100289,0.00622885978176806,0.000760752953384928,0.0103804319192208,0.035697564100837,2802,35,0.316993363215241,"FMR-0034"
"closed source sample","mkt_car_20","drop event FMR-0035","z_intelligence",0.0232831762911394,0.0062687591133217,0.000707500498723393,0.0105569187148934,0.0360094338673854,2884,36,0.31620746150203,"FMR-0035"
"closed source sample","mkt_car_20","drop event FMR-0036","z_intelligence",0.0228197607041672,0.00620816272623935,0.00081129402346868,0.0102032560908163,0.035436265317518,2802,35,0.321729908190353,"FMR-0036"
"closed source sample","mkt_car_20","drop event FMR-0038","z_intelligence",0.023265840779328,0.00643621274540743,0.000961529554145314,0.010185882766673,0.036345798791983,2805,35,0.317690784775183,"FMR-0038"
"closed source sample","mkt_car_20","drop event FMR-0039","z_intelligence",0.0232831762911394,0.0062687591133217,0.000707500498723393,0.0105569187148934,0.0360094338673854,2884,36,0.31620746150203,"FMR-0039"
"closed source sample","mkt_car_20","drop event FMR-0040","z_intelligence",0.0231040318711654,0.00643835133627221,0.00103447963726629,0.0100197277189678,0.036188336023363,2805,35,0.318463422106523,"FMR-0040"
"closed source sample","mkt_car_20","drop event FMR-0041","z_intelligence",0.0239395960664213,0.00622381148169203,0.000501692077884672,0.0112912893557241,0.0365879027771185,2802,35,0.319858221034479,"FMR-0041"
"closed source sample","mkt_car_20","drop event FMR-0042","z_intelligence",0.02283237106242,0.00625144430925057,0.000866163596465461,0.0101279076896401,0.0355368344352,2802,35,0.319425434822798,"FMR-0042"
"closed source sample","mkt_car_20","drop event FMR-0047","z_intelligence",0.0232831762911394,0.0062687591133217,0.000707500498723393,0.0105569187148934,0.0360094338673854,2884,36,0.31620746150203,"FMR-0047"
"closed source sample","mkt_car_20","drop event FMR-0048","z_intelligence",0.0224507000373512,0.00611149581116509,0.000816407425871391,0.0100306462313927,0.0348707538433097,2805,35,0.33080716887094,"FMR-0048"
"closed source sample","mkt_car_20","drop event FMR-0049","z_intelligence",0.0220885828699451,0.00673278366303329,0.00239695507539859,0.00840592023832164,0.0357712455015685,2805,35,0.318714768288831,"FMR-0049"
"closed source sample","mkt_car_20","drop event FMR-0050","z_intelligence",0.0230455593324414,0.00644794809485568,0.00107663227346756,0.00994175222030528,0.0361493664445775,2805,35,0.314781699167845,"FMR-0050"
"closed source sample","mkt_car_20","drop event FMR-0054","z_intelligence",0.0231328753171604,0.00744895634808862,0.00381708419811196,0.00799477467860993,0.0382709759557109,2802,35,0.317716474901115,"FMR-0054"
"closed source sample","mkt_car_20","drop event FMR-0056","z_intelligence",0.0232005145923985,0.00624908030273903,0.000731726390104067,0.0105008554588716,0.0359001737259254,2807,35,0.313824251066735,"FMR-0056"
"closed source sample","mkt_car_20","drop event FMR-0057","z_intelligence",0.0231638839869798,0.00622442612609024,0.000713839741450439,0.0105143281685791,0.0358134398053804,2807,35,0.316925293224143,"FMR-0057"
"closed source sample","mkt_car_20","drop event FMR-0058","z_intelligence",0.023100409076407,0.00618129917488062,0.00068305363154786,0.0105384977678057,0.0356623203850083,2808,35,0.319233962040463,"FMR-0058"
"closed source sample","mkt_car_20","drop event FMR-0059","z_intelligence",0.0232831762911394,0.0062687591133217,0.000707500498723393,0.0105569187148934,0.0360094338673854,2884,36,0.31620746150203,"FMR-0059"
"closed source sample","mkt_car_20","drop event FMR-0060","z_intelligence",0.0222891088056508,0.00623535994737005,0.00107502691945455,0.00961733278898836,0.0349608848223132,2808,35,0.319547739118422,"FMR-0060"
