event_id,official_date,event_trading_date,ticker,company,is_main_ndxt,is_sox_robustness,price_first_date,price_last_date,has_required_boundary_dates,missing_required_boundary_dates,can_estimate_full_200_day_window,can_compute_event_window_20,car_ready_max_window
AIT-2024-04-001,2024-04-03,2024-04-03,ARM,Arm Holdings,True,False,2023-09-14,2026-04-30,False,2023-06-14;2023-06-15,False,True,False
AIT-2024-04-001,2024-04-03,2024-04-03,ASML,ASML Holding,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,ADSK,Autodesk,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,AVGO,Broadcom,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,CDNS,Cadence Design Systems,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,CTSH,Cognizant Technology Solutions Corporation,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,CRWD,CrowdStrike,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,DDOG,Datadog,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,DASH,DoorDash,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,FTNT,Fortinet,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,INTC,Intel,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,INTU,Intuit,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,KLAC,KLA Corporation,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,LRCX,Lam Research,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,MRVL,Marvell Technology,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,META,Meta Platforms,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,MCHP,Microchip Technology,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,MU,Micron Technology,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,MSFT,Microsoft,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,MPWR,Monolithic Power Systems,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,NVDA,Nvidia,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,NXPI,NXP Semiconductors,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,PLTR,Palantir Technologies,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,PANW,Palo Alto Networks,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,PDD,PDD Holdings,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,QCOM,Qualcomm,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,ROP,Roper Technologies,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,SNDK,Sandisk,True,False,2025-02-13,2026-04-30,False,2023-06-14;2023-06-15;2024-03-19;2024-03-19;2024-04-01;2024-04-03;2024-05-01,False,False,False
AIT-2024-04-001,2024-04-03,2024-04-03,STX,Seagate Technology,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,SHOP,Shopify,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,MSTR,MicroStrategy,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,SNPS,Synopsys,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,TXN,Texas Instruments,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,TRI,Thomson Reuters,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,WDC,Western Digital,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,WDAY,"Workday, Inc.",True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-001,2024-04-03,2024-04-03,ZS,"Zscaler, Inc.",True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-003,2024-04-17,2024-04-17,ADBE,Adobe Inc.,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-003,2024-04-17,2024-04-17,AMD,Advanced Micro Devices,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-003,2024-04-17,2024-04-17,GOOGL,Alphabet Inc. (Class A),True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-003,2024-04-17,2024-04-17,GOOG,Alphabet Inc. (Class C),True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-003,2024-04-17,2024-04-17,ADI,Analog Devices,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-003,2024-04-17,2024-04-17,AAPL,Apple Inc.,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-04-003,2024-04-17,2024-04-17,AMAT,Applied Materials,True,True,2021-01-04,2026-04-30,True,,True,True,True
