"family","sample","outcome","fe","term","coef","se","p","n","n_events","n_tickers","n_treated","treated_events","treated_tickers","rhs","note","q_global","q_family","sig_p05","sig_q10_family","direction"
"single_or_bundle","main","car_ff3_0_20","year","rel_competitor",0.0111208152438975,0.00526737002902185,0.0367736646149151,12112,124,101,746,123,7,"rel_competitor + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.260344528247187,0.208203836422681,TRUE,FALSE,"positive"
"single_or_bundle","main","car_ff3_0_20","year","rel_is_investor",0.0215856874344671,0.0110043832953222,0.0520734784898531,12112,124,101,89,45,5,"rel_is_investor + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.300294118556966,0.244491331934066,FALSE,FALSE,"positive"
"single_or_bundle","main","car_ff3_0_20","year","rel_is_owner",0.00653899249202823,0.0116892586135835,0.576904723492546,12112,124,101,53,32,5,"rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.856259329859066,0.77963835581118,FALSE,FALSE,"positive"
"single_or_bundle","main","car_ff3_0_20","year","upstream_any",0.0179457545060536,0.00638921653948469,0.00578662097176469,12112,124,101,3250,124,29,"upstream_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.12949081894858,0.102429842488708,TRUE,FALSE,"positive"
"single_or_bundle","main","car_ff3_0_20","year","downstream_any",-0.00859862898199559,0.00406228658654692,0.0363004764278614,12112,124,101,4920,124,40,"downstream_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.258136721264792,0.206283150180467,TRUE,FALSE,"negative"
"single_or_bundle","main","car_ff3_0_20","year","related_any",0.00467158147205016,0.00295022543536125,0.115883184592716,12112,124,101,8173,124,69,"related_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.462735482562865,0.373008180397159,FALSE,FALSE,"positive"
"single_or_bundle","main","car_ff3_0_20","year","platform_bigtech",0.00688589862572353,0.00506682234691103,0.17662787518816,12112,124,101,869,123,9,"platform_bigtech + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.562307506370422,0.464969107332935,FALSE,FALSE,"positive"
"joint_core","main","car_mm_qqq_0_20","event","rel_upstream_hardware",0.0150622168665009,0.00624386916518556,0.0173279435002656,12112,124,101,2688,124,23,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.191204893796035,0.253453501944184,TRUE,FALSE,"positive"
"joint_core","main","car_mm_qqq_0_20","event","rel_upstream_cloud",0.000372969374473011,0.00770478241805037,0.961469984090643,12112,124,101,562,123,6,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.988231995993132,0.995229476070117,FALSE,FALSE,"positive"
"joint_core","main","car_mm_qqq_0_20","event","rel_downstream_integrator",-0.00530554009803888,0.00481226694560116,0.272395467859028,12112,124,101,1971,124,16,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.661862808814896,0.781065329913184,FALSE,FALSE,"negative"
"joint_core","main","car_mm_qqq_0_20","event","rel_downstream_deployer",-0.000362115810822036,0.00239283106829279,0.87996046589385,12112,124,101,2949,124,24,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.959671739834815,0.977733850993167,FALSE,FALSE,"negative"
"joint_core","main","car_mm_qqq_0_20","event","rel_competitor",0.0156286677233939,0.00627730374216893,0.0141199097492686,12112,124,101,746,123,7,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.1754091474495,0.238526192839136,TRUE,FALSE,"positive"
